x1,x2,x3,x4,x5,x6,y1,y2,y3,y4,y5,y6
0.003745401188473625,0.009507143064099163,0.007319939418114051,0.005986584841970366,0.0015601864044243652,0.0015599452033620265,1474981.841652981,1918192.7551626377,1749946.3208560906,230253.2631527064,60007.16940093713,59997.89243700102
0.0005808361216819946,0.008661761457749353,0.006011150117432088,0.007080725777960455,0.00020584494295802447,0.009699098521619943,924703.6072561208,1546313.2484920714,1342420.0684676664,272335.6068446329,7917.113190693249,373042.2508315363
0.008324426408004218,0.0021233911067827615,0.0018182496720710061,0.001834045098534338,0.0030424224295953774,0.005247564316322379,1347998.2152421314,870995.4997635577,847523.0817088074,70540.19609747455,117016.2472921299,201829.39678162997
0.004319450186421158,0.002912291401980419,0.006118528947223795,0.0013949386065204184,0.0029214464853521815,0.003663618432936917,1102473.314472322,994230.3310538037,1240863.9883802172,53651.48486616994,112363.32635969929,140908.40126680452
0.004560699842170359,0.007851759613930136,0.0019967378215835973,0.005142344384136116,0.005924145688620425,0.00046450412719997725,1182122.9077256483,1435281.3517071693,984895.0599882051,197782.47631292755,227851.75725463175,17865.543353845278
0.006075448519014384,0.0017052412368729153,0.0006505159298527952,0.009488855372533333,0.009656320330745594,0.008083973481164611,953757.9064091889,617588.1154752297,536455.3995506051,364955.9758666667,371396.93579790747,310922.0569678697
0.0030461376917337067,0.0009767211400638386,0.006842330265121569,0.004401524937396013,0.0012203823484477883,0.004951769101112702,861156.1164940802,701970.2279040904,1153170.9298316082,169289.42066907743,46937.782632607246,190452.65773510395
0.00034388521115218395,0.009093204020787822,0.0025877998160001693,0.00662522284353982,0.0031171107608941096,0.005200680211778108,720196.3074697935,1393220.8312879193,892805.1232273309,254816.26321307,119888.87541900422,200026.16199146572
0.005467102793432797,0.0018485445552552705,0.009695846277645586,0.007751328233611146,0.009394989415641892,0.008948273504276488,1401978.693321772,1123628.0596158085,1727266.6536458326,298128.0089850441,361345.7467554574,344164.36554909573
0.005978999788110851,0.009218742350231169,0.000884925020519195,0.001959828624191452,0.00045227288910538066,0.0032533033076326437,1387769.2428659047,1636980.2091828522,995917.3376665466,75378.02400736354,17395.11111943772,125127.05029356322
0.0038867728968948203,0.002713490317738959,0.008287375091519293,0.003567533266935893,0.0028093450968738076,0.005426960831582485,1157884.7405007402,1067632.234411828,1496392.6016256998,137212.81795907283,108051.73449514645,208729.26275317252
0.0014092422497476264,0.008021969807540396,0.0007455064367977082,0.009868869366005173,0.007722447692966574,0.001987156815341724,695521.6246393787,1204192.9752388224,644465.0236432313,379571.89869250666,297017.2189602529,76429.10828237401
5.5221171236023996e-05,0.008154614284548342,0.007068573438476171,0.007290071680409873,0.007712703466859458,0.0007404465173409036,885694.4493793405,1508724.6888649035,1425183.0853208902,280387.3723234567,296642.44103305606,28478.71220541937
0.003584657285442726,0.0011586905952512972,0.008631034258755936,0.006232981268275579,0.003308980248526492,0.0006355835028602363,1047341.8376946303,860729.0153722127,1435524.6817956464,239730.04877983,127268.47109717278,24445.519340778323
0.003109823217156622,0.0032518332202674705,0.007296061783380641,0.006375574713552132,0.008872127425763265,0.004722149251619493,1027162.4525200131,1038086.2989131552,1349180.8037680145,245214.41205969738,341235.67022166407,181621.1250622882
0.001195942459383017,0.00713244787222995,0.007607850486168974,0.005612771975694962,0.00770967179954561,0.004937955963643908,1011394.0825168823,1468048.3450435696,1504617.776885033,215875.84521903703,296525.8384440619,189921.3832170734
